place,climate,budget,type,season,activity,cost_range,feedback,image_url,description
Goa,Hot,Medium,Beach,Winter,Relaxation,Rs. 12000 - Rs. 25000,Visitors like beaches nightlife and food options,https://source.unsplash.com/800x520/?goa+beach,Best for beaches seafood nightlife and relaxed holidays.
Manali,Cold,Medium,Hill Station,Winter,Adventure,Rs. 10000 - Rs. 22000,Visitors like snow views trekking and adventure sports,https://source.unsplash.com/800x520/?manali+mountains,Best for snow mountains trekking and adventure activities.
Jaipur,Hot,Low,Historical,Winter,Culture,Rs. 7000 - Rs. 15000,Visitors like forts palaces markets and local culture,https://source.unsplash.com/800x520/?jaipur+fort,Best for forts palaces local markets and Rajasthani culture.
Kerala,Moderate,High,Nature,Monsoon,Nature,Rs. 18000 - Rs. 35000,Visitors like backwaters greenery and peaceful stays,https://source.unsplash.com/800x520/?kerala+backwaters,Best for backwaters greenery houseboats and peaceful nature trips.
Rishikesh,Moderate,Medium,Adventure,Summer,Adventure,Rs. 8000 - Rs. 18000,Visitors like rafting camping yoga and riverside stays,https://source.unsplash.com/800x520/?rishikesh+rafting,Best for river rafting camping yoga and adventure activities.
Varanasi,Moderate,Low,Religious,Winter,Spiritual,Rs. 6000 - Rs. 14000,Visitors like ghats temples evening aarti and spirituality,https://source.unsplash.com/800x520/?varanasi+ghat,Best for temples ghats spiritual travel and cultural experiences.
Ooty,Cold,Medium,Hill Station,Summer,Nature,Rs. 9000 - Rs. 20000,Visitors like cool weather gardens lakes and toy train rides,https://source.unsplash.com/800x520/?ooty+hills,Best for gardens lakes cool weather and family trips.
Agra,Moderate,Low,Historical,Winter,Culture,Rs. 5000 - Rs. 12000,Visitors like monuments history and short weekend trips,https://source.unsplash.com/800x520/?taj+mahal,Best for the Taj Mahal monuments history and short trips.
Andaman,Hot,High,Beach,Winter,Relaxation,Rs. 30000 - Rs. 60000,Visitors like clean beaches islands scuba diving and premium stays,https://source.unsplash.com/800x520/?andaman+island,Best for premium beach holidays islands water sports and relaxation.
Munnar,Cold,Medium,Nature,Monsoon,Nature,Rs. 10000 - Rs. 22000,Visitors like tea gardens misty hills and photography,https://source.unsplash.com/800x520/?munnar+tea,Best for tea gardens hills waterfalls and nature photography.
Darjeeling,Cold,Medium,Hill Station,Summer,Nature,Rs. 12000 - Rs. 24000,Visitors like tea estates mountain views and toy train rides,https://source.unsplash.com/800x520/?darjeeling+tea,Best for mountain views tea gardens and peaceful weather.
Ladakh,Cold,High,Adventure,Summer,Adventure,Rs. 25000 - Rs. 50000,Visitors like bike trips monasteries lakes and high altitude adventure,https://source.unsplash.com/800x520/?ladakh+mountains,Best for adventure road trips lakes and scenic landscapes.
Udaipur,Hot,Medium,Historical,Winter,Culture,Rs. 10000 - Rs. 24000,Visitors like lakes palaces heritage hotels and cultural streets,https://source.unsplash.com/800x520/?udaipur+palace,Best for lakes palaces heritage and romantic cultural trips.
Amritsar,Moderate,Low,Religious,Winter,Spiritual,Rs. 6000 - Rs. 14000,Visitors like Golden Temple food streets and patriotic sites,https://source.unsplash.com/800x520/?golden+temple,Best for spiritual travel food and cultural experiences.
Pondicherry,Hot,Medium,Beach,Winter,Relaxation,Rs. 10000 - Rs. 22000,Visitors like beaches cafes French streets and calm holidays,https://source.unsplash.com/800x520/?pondicherry+beach,Best for calm beaches cafes and relaxed city walks.
Hampi,Hot,Low,Historical,Winter,Culture,Rs. 6000 - Rs. 15000,Visitors like ancient ruins temples boulders and photography,https://source.unsplash.com/800x520/?hampi+temple,Best for historical ruins temples and budget travel.
Kodaikanal,Cold,Medium,Hill Station,Summer,Nature,Rs. 9000 - Rs. 20000,Visitors like lakes viewpoints forests and pleasant climate,https://source.unsplash.com/800x520/?kodaikanal+lake,Best for cool weather lakes forests and family trips.
Meghalaya,Moderate,Medium,Nature,Monsoon,Nature,Rs. 14000 - Rs. 28000,Visitors like waterfalls caves root bridges and green landscapes,https://source.unsplash.com/800x520/?meghalaya+waterfall,Best for waterfalls caves nature walks and monsoon views.
Jaisalmer,Hot,Medium,Adventure,Winter,Adventure,Rs. 10000 - Rs. 24000,Visitors like desert safari camping forts and camel rides,https://source.unsplash.com/800x520/?jaisalmer+desert,Best for desert safari camping and adventure experiences.
Haridwar,Moderate,Low,Religious,Winter,Spiritual,Rs. 5000 - Rs. 12000,Visitors like temples Ganga aarti and peaceful spiritual travel,https://source.unsplash.com/800x520/?haridwar+ganga,Best for spiritual travel temples and river ghats.
